File-Keyword, r2, slope, intercept
Evolution-Efficiency,0.072250112,-0.381014947,33.68117391
Evolution-Portability,0.12018411,-0.363383035,14.34697262
Evolution-Maintainability,0.053242561,-0.267419956,19.79476487
Evolution-Reliability,0.083381937,-0.291558375,18.03798033
Evolution-Functionality,0.053968912,0.915082099,66.65254241
Evolution-Usability,0.122271827,-1.384779251,92.72788035
Nautilus-Efficiency,0.188744296,-4.773830845,173.8388714
Nautilus-Portability,0.114597504,-0.509178079,18.09163964
Nautilus-Maintainability,0.37068556,-1.488503983,50.37795537
Nautilus-Reliability,0.378208525,-1.002452429,31.95684914
Nautilus-Functionality,0.2561168,-4.224985077,215.5969015
Nautilus-Usability,0.234699933,-7.962482015,352.8554589
Deskbar-Efficiency,0.452181486,-9.58159959,95.66576221
Deskbar-Portability,nan,0,0
Deskbar-Maintainability,0.058498283,-3.426061068,56.67558612
Deskbar-Reliability,0.230769231,-0.799616184,6.130390746
Deskbar-Functionality,0.231796661,-9.405106649,176.6052363
Deskbar-Usability,0.002893776,-0.94754711,45.79725462
Metacity-Efficiency,0.070429092,-2.158569234,95.43029863
Metacity-Portability,0.004465622,-0.105442942,8.243414016
Metacity-Maintainability,0.0133752,-0.436506201,51.22451201
Metacity-Reliability,0.01320209,0.233739405,12.96250339
Metacity-Functionality,0.072685091,2.825778035,92.77273886
Metacity-Usability,0.244507664,-4.070666291,198.9976115
Ekiga-Efficiency,0.063408612,0.908945924,6.705842368
Ekiga-Portability,4.78E-05,-0.026212208,18.11585214
Ekiga-Maintainability,0.009098681,0.374292422,13.39038329
Ekiga-Reliability,0.106541139,1.170181549,-1.126226819
Ekiga-Functionality,0.160702696,2.630228235,21.63708615
Ekiga-Usability,0.013748832,-0.959584898,70.08002681
Totem-Efficiency,0.027974884,-1.863627806,97.57311379
Totem-Portability,0.055416332,-0.347290387,7.276455188
Totem-Maintainability,0.000196587,0.016916176,4.31726436
Totem-Reliability,0.024465951,0.194999748,2.872458861
Totem-Functionality,0.157229835,-1.86780308,61.36256209
Totem-Usability,0.333781682,-1.969625403,57.90635659
Evince-Efficiency,9.99E-06,0.013243757,27.01256561
Evince-Portability,0.18343266,-0.374525646,4.520717979
Evince-Maintainability,0.136143424,-32.30990749,454.1854862
Evince-Reliability,0.16737777,0.893272749,-1.830602524
Evince-Functionality,0.012701098,1.838448805,53.60196317
Evince-Usability,0.020319074,-1.213562878,61.22866647
Empathy-Efficiency,0.392715406,-4.331283181,19.17355273
Empathy-Portability,0.6,-7.407407407,17.28395062
Empathy-Maintainability,0.641933515,-3.143875074,12.56273862
Empathy-Reliability,0.161393619,-2.653390044,19.1304507
Empathy-Functionality,0.453872085,-16.52366239,97.65448125
Empathy-Usability,0.288519121,-5.993043327,31.06608365
